, ,Country,Year,nuclear_total_supply,renewables_waste_total_supply,nuclear_total_consumption,renewables_waste_total_consumption,coal_peat_oil_shale_total_consumption,crude_NGL_feedstocks_total_consumption,oil_products_total_consumption,coal_peat_oil_shale_total_supply,crude_NGL_feedstocks_total_supply,oil_products_total_supply,fossil_co2_emissions,co2_emission_change,co2_emissions_per_capita,population,pop,share_of_world
71,71,Brazil,1990,24.40363465,2749.090549,24.40363465,2749.090549,153.5687886,0.0,2238.056368,404.9056038,2567.576528,2529.576964,219750670,0.0007,1.47,149143223,0.018,0.0061
72,72,Brazil,1991,15.73090873,2762.731365,15.73090873,2762.731365,181.8879521,0.0,2269.237624,462.9339945,2520.19929,2442.19558,225990470,0.0284,1.49,151724256,0.0173,0.0062
73,73,Brazil,1992,19.18909248,2756.178357,19.18909248,2756.178357,166.0088683,0.0,2332.079667,448.0612039,2588.844149,2529.574171,230088200,0.0181,1.49,154275079,0.0168,0.0063
74,74,Brazil,1993,4.821816143,2793.328667,4.821816143,2793.328667,174.5947181,0.0,2417.853571,461.0029419,2615.756083,2550.911184,240413480,0.0449,1.53,156794577,0.0163,0.0066
75,75,Brazil,1994,0.6000019344,2936.149957,0.6000019344,2936.149957,183.0931769,0.0,2550.579807,473.4101887,2681.141761,2709.220418,247389640,0.029,1.55,159265006,0.0158,0.0068
76,76,Brazil,1995,27.479999,2914.295095,27.479999,2914.295095,186.4109354,0.0,2742.410714,496.6950099,2697.802437,2656.523243,268124510,0.0838,1.66,161735073,0.0155,0.0074
77,77,Brazil,1996,26.47636442,2953.961127,26.47636442,2953.961127,200.8379155,0.0,2938.612515,511.9277565,2938.58018,2841.449037,288845880,0.0773,1.76,164202549,0.0153,0.008
78,78,Brazil,1997,34.57091002,3057.878613,34.57091002,3057.878613,210.9694774,0.0,3162.870067,515.2153323,3098.562665,3070.73566,308449100,0.0679,1.85,166661659,0.015,0.0085
79,79,Brazil,1998,35.61818361,3090.522992,35.61818361,3090.522992,203.4832404,0.0,3279.151499,503.1007721,3345.202829,3281.622331,318211250,0.0316,1.88,169159655,0.015,0.0088
80,80,Brazil,1999,43.38545542,3158.299743,43.38545542,3158.299743,206.4327279,0.0,3308.985233,510.7778225,3446.76315,3387.930182,327433200,0.029,1.91,171641543,0.0147,0.009
81,81,Brazil,2000,65.95636443,3059.526964,65.95636443,3059.526964,239.5490013,0.0,3352.059375,544.899514,3503.503476,3439.767082,344455700,0.052,1.98,174018282,0.0138,0.0095
82,82,Brazil,2001,155.7709072,2995.282553,155.7709072,2995.282553,221.3263018,0.0,3331.445201,536.4392515,3627.251266,3557.73459,347646270,0.0093,1.97,176301203,0.0131,0.0096
83,83,Brazil,2002,150.9381803,3244.605898,150.9381803,3244.605898,236.6608671,0.0,3284.530482,518.8269623,3575.796461,3482.890842,348114440,0.0013,1.95,178503484,0.0125,0.0096
84,84,Brazil,2003,145.7236381,3510.924252,145.7236381,3510.924252,244.4768691,0.0,3175.456295,538.6338799,3567.221334,3505.6539,343726110,-0.0126,1.9,180622688,0.0119,0.0095
85,85,Brazil,2004,126.6654543,3734.577343,126.6654543,3734.577343,265.8132917,0.0,3289.803317,563.8855174,3772.332172,3740.286061,362566810,0.0548,1.98,182675143,0.0114,0.01
86,86,Brazil,2005,107.50909,3887.010537,107.50909,3887.010537,231.7906683,0.0,3307.914861,543.7664445,3784.132538,3724.509123,365166020,0.0072,1.98,184688101,0.011,0.0101
87,87,Brazil,2006,150.0436369,4060.416966,150.0436369,4060.416966,225.3859319,0.0,3377.737539,536.6294829,3830.138926,3762.832683,370200530,0.0138,1.98,186653106,0.0106,0.0102
88,88,Brazil,2007,134.7272717,4397.00323,134.7272717,4397.00323,252.3601781,0.0,3520.741599,569.0348753,3920.614786,3831.521278,389064030,0.051,2.06,188552320,0.0102,0.0107
89,89,Brazil,2008,152.3890907,4642.272573,152.3890907,4642.272573,253.8587845,0.0,3623.083085,575.0109838,3965.598239,3879.852043,409258230,0.0519,2.15,190367302,0.0096,0.0113
90,90,Brazil,2009,141.3490894,4623.697118,141.3490894,4623.697118,205.0724659,0.0,3581.734583,459.731306,3988.399698,3883.441491,382799730,-0.0646,1.99,192079951,0.009,0.0106
91,91,Brazil,2010,158.4327281,4899.068046,158.4327281,4899.068046,307.1942664,0.0,3920.651789,605.7543338,4011.350584,3899.148041,436392960,0.14,2.25,193701929,0.0084,0.012
92,92,Brazil,2011,170.8254551,4828.530003,170.8254551,4828.530003,348.5140929,0.0,4187.950763,646.7957004,4082.306888,4002.601194,458359770,0.0503,2.35,195284734,0.0082,0.0126
93,93,Brazil,2012,174.9599997,4808.971137,174.9599997,4808.971137,334.1120117,0.0,4426.467098,640.4155782,4248.279821,4234.521293,495227470,0.0804,2.52,196876111,0.0081,0.0137
94,94,Brazil,2013,168.5454537,4871.055641,168.5454537,4871.055641,318.949147,0.0,4507.548713,690.1296624,4535.909389,4512.189794,520371910,0.0508,2.62,198478299,0.0081,0.0144
95,95,Brazil,2014,167.7600016,4941.284576,167.7600016,4941.284576,316.420391,0.0,4570.619828,733.9661283,4681.605662,4620.114223,545142050,0.0476,2.72,200085127,0.0081,0.015
96,96,Brazil,2015,160.734547,5071.260638,160.734547,5071.260638,323.0959673,0.0,4304.07926,739.159749,4432.135628,4326.743652,515515190,-0.0543,2.56,201675532,0.0079,0.0142
97,97,Brazil,2016,173.0618176,5135.807775,173.0618176,5135.807775,279.3702883,0.0,4231.7432,666.4460485,4099.311677,4032.207535,480826890,-0.0673,2.37,203218114,0.0076,0.0133
98,98,Brazil,2017,171.7003205,5215.806177,171.7003205,5215.806177,322.4195144,0.0,4272.487581,702.5218158,3936.291627,3865.177506,492735270,0.0248,2.41,204703445,0.0073,0.0136
99,99,Brazil,2018,170.9878569,5447.295463,170.9878569,5447.295463,333.4697272,0.0,4027.366535,687.5053385,3843.408109,3800.011421,468763990,-0.0486,2.27,206107261,0.0069,0.0129
100,100,Brazil,2019,175.9508059,5635.939047,175.9508059,5635.939047,303.7445526,0.0,4086.229296,646.2217781,3843.361916,3788.889978,468013980,-0.0016,2.26,207455459,0.0065,0.0129
101,101,Brazil,2020,153.3010678,5797.584202,153.3010678,5797.584202,284.3638972,0.0,3860.298498,584.2577326,3965.538765,3950.249334,447695430,-0.0434,2.15,208660842,0.0058,0.0123
102,102,Brazil,2021,160.4136874,5547.507986,160.4136874,5547.507986,327.4381729,0.0,4160.299176,713.3518407,4013.369066,4056.945766,503538680,0.1247,2.4,209550294,0.0043,0.0139
103,103,Brazil,2022,158.8255965,5950.751112,158.8255965,5950.751112,337.6298699,0.0,4400.903042,585.9757399,4288.094154,4349.906214,466770410,-0.073,2.22,210306415,0.0036,0.0129
