, ,Country,Year,nuclear_total_supply,renewables_waste_total_supply,nuclear_total_consumption,renewables_waste_total_consumption,coal_peat_oil_shale_total_consumption,crude_NGL_feedstocks_total_consumption,oil_products_total_consumption,coal_peat_oil_shale_total_supply,crude_NGL_feedstocks_total_supply,oil_products_total_supply,fossil_co2_emissions,co2_emission_change,co2_emissions_per_capita,population,pop,share_of_world
19,19,Switzerland,1990,258.7372732,169.4306562,258.7372732,169.4306562,14.74357337,132.6190504,471.2615983,15.04466709,132.6190504,380.4836017,44773770,0.0273,6.67,6713173,0.0098,0.0012
20,20,Switzerland,1991,251.3063647,183.1883345,251.3063647,183.1883345,12.7761793,203.2914515,495.8604007,12.67238853,203.2914515,314.6044,47086870,0.0517,6.93,6796943,0.0125,0.0013
21,21,Switzerland,1992,256.7663622,185.5667006,256.7663622,185.5667006,8.874856256,185.4380989,497.3674016,8.789068724,185.4380989,336.3429983,47043650,-0.0009,6.84,6875051,0.0115,0.0013
22,22,Switzerland,1993,255.7281823,197.383144,255.7281823,197.383144,7.451118169,206.7836488,469.4223999,7.31822495,206.7836488,284.8194001,44728730,-0.0492,6.45,6938106,0.0092,0.0012
23,23,Switzerland,1994,266.7881797,207.0298536,266.7881797,207.0298536,7.498219669,210.6321009,457.7624005,7.402375444,210.6321009,287.2393998,43795880,-0.0209,6.26,6993587,0.008,0.0012
24,24,Switzerland,1995,272.6118176,193.6105148,272.6118176,193.6105148,8.09212981,202.0578736,463.5556003,7.959232404,202.0578736,261.9363987,44582820,0.018,6.33,7040477,0.0067,0.0012
25,25,Switzerland,1996,275.2963644,175.1113693,275.2963644,175.1113693,6.149626268,228.5148992,469.284202,5.95162831,228.5148992,243.4431984,45133730,0.0124,6.38,7071883,0.0045,0.0012
26,26,Switzerland,1997,278.1690912,190.1871066,278.1690912,190.1871066,4.798947841,215.0139765,460.9801992,4.600949882,215.0139765,282.976802,43847960,-0.0285,6.19,7089163,0.0024,0.0012
27,27,Switzerland,1998,282.8818203,191.0798161,282.8818203,191.0798161,3.966398474,219.3326732,474.5332015,3.795397002,219.3326732,280.5527997,45308770,0.0333,6.37,7110291,0.003,0.0012
28,28,Switzerland,1999,282.9118187,218.5696415,282.9118187,218.5696415,4.101129698,220.6018765,481.0233989,3.964330195,220.6018765,265.1561986,45575150,0.0059,6.38,7144121,0.0048,0.0013
29,29,Switzerland,2000,289.6018185,209.3600966,289.6018185,209.3600966,5.766634552,201.102651,465.318599,5.677535261,201.102651,260.4745984,44770210,-0.0177,6.23,7184007,0.0056,0.0012
